TIME,COURSE,IM_MSHS_CLASS,IM_MSHS_CLUB,IM_COMPETIT,IM_AFTERSCHOOL,IM_SUMMERCAMP,IM_APCLASS,IM_DUAL,IM_FAM_INFLU,IM_FAM_WORK,IM_HSTEACH,IM_EMPLOY,IM_STUDENT,IM_WORK,IM_OTHER,DEG_PROGRAM,MOT_JOB,MOT_BACH,MOT_HS,MOT_CAR_AD,MOT_CAR_CHG,MOT_PROFDEV,MOT_JOBDIS,MOT_RELOC,MOT_CURRENT,MOT_IT_CERT,MOT_FINAN,MOT_PERS,FIRST_CHOICE,MORE_CLASS,MORE_CLASS_WHY,GENDER,AGE
2020/10/05 5:34:38 PM EST,CMP 120 Foundations of Information Security,2,2,1,1,0,0,0,1,0,0,0,0,0,0,Computer Science,1,1,,1,,1,,,1,1,1,1,First Choice,,,Man,21-24
2020/10/08 7:38:17 PM EST,CMP 131 Fundamentals of Programming (Python),2,2,2,0,0,0,0,1,1,0,0,0,0,0,ShareTime CSIP Program,1,,1,1,,,,,,1,,,First Choice,,,Woman,18 and younger
2020/10/10 7:00:32 PM EST,CMP 130 Intro to IT,1,0,0,0,2,1,0,1,1,0,0,0,0,1,Challenger Program,1,,1,,,,,,,1,1,,First Choice,,,Man,18 and younger
2020/10/13 5:07:17 PM EST,CMP 130 Intro to IT,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,Computer Science,,,,,,1,,,,,,,First Choice,,,Man,21-24
2020/10/14 10:08:02 AM EST,CMP 131 Fundamentals of Programming (Python),1,0,0,1,0,0,0,2,2,1,0,0,1,0,Information Tech0logy,1,,,,,,,,,,,,First Choice,,,Man,19-20
2020/10/14 6:18:25 PM EST,CMP 131 Fundamentals of Programming (Python),0,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,1,0,1,N/A,Computer Science,1,1,,1,1,1,1,,,,1,1,First Choice,,,Prefer 0t to say,25-34
2020/10/22 6:59:06 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,Undecided,,,,,,,,,,,,,,2,Computer science is 0t my major ,Woman,19-20
2020/10/26 1:27:44 PM EST,CMP 128 Computer Science I,2,1,0,0,0,2,0,1,1,1,0,0,0,0,Computer Science,1,1,,,,,,,1,1,,,First Choice,,,Man,18 and younger
2021/10/03 9:49:52 PM EST,CMP 128 Computer Science I,N/A,N/A,1,N/A,N/A,N/A,N/A,2,2,0,0,0,0,N/A,0n Degree seeking,,,,,,,,,,,,,,5,this is my first computing class and i realized that i really enjoy this subject,Woman,18 and younger
2021/10/04 6:31:09 AM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Electronics Engineering Tech0logy,,,,,,,,,,,,,,5,I have always been interested in computing and robotics,Man,19-20
2021/10/04 7:57:04 AM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,2,2,2,0,1,0,0,Computer Science,1,1,0,0,0,0,0,0,1,0,0,0,First Choice,,,Man,18 and younger
2021/10/04 9:20:16 AM EST,CMP 128 Computer Science I,2,0,0,0,0,0,0,2,2,0,0,0,0,0,Computer Science,0,1,0,1,1,1,1,0,0,0,1,1,First Choice,,,Man,35-64
2021/10/04 11:26:08 AM EST,CMP 128 Computer Science I,0,1,0,0,0,0,0,1,1,0,1,0,0,1,Mechanical Engineering Tech0logy,,,,,,,,,,,,,,4,"At first, I was just taking this class because of it being a requirement for my major, however, the teacher made the class more interesting and made me more inclined to be more interested in things related to this class.",Man,19-20
2021/10/04 12:20:25 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Computer Science,1,0,0,0,0,0,0,0,1,0,0,0,First Choice,,,Man,18 and younger
2021/10/04 12:20:41 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Electronics Engineering Tech0logy,,,,,,,,,,,,,,5,Programming is fun.,Man,19-20
2021/10/04 12:20:47 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,0,0,2,0,2,0,0,Undecided,,,,,,,,,,,,,,3,I am 0t sure if computer science is a field that I want to study yet.,Woman,18 and younger
2021/10/04 12:20:55 PM EST,CMP 128 Computer Science I,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Mathematics,,,,,,,,,,,,,,4,The field I plan to go into requires a high level of k0wledge related to computing,Man,21-24
2021/10/04 12:21:08 PM EST,CMP 128 Computer Science I,1,1,2,0,0,0,0,1,1,1,0,0,0,0,Computer Science,1,0,0,1,0,1,0,0,1,0,0,1,First Choice,,,Man,18 and younger
2021/10/04 12:21:09 PM EST,CMP 128 Computer Science I,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Computer Science,1,1,0,1,1,1,0,0,1,0,0,1,Engineering,,,Man,25-34
2021/10/04 12:21:28 PM EST,CMP 128 Computer Science I,0,0,2,0,0,0,0,2,2,1,0,0,0,N/A,0n Degree seeking,,,,,,,,,,,,,,5,Really interesting class,Woman,18 and younger
2021/10/04 12:21:37 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mechanical Engineering Tech0logy,,,,,,,,,,,,,,2,Its 0t something im interested in. Coding is something I don't find fun,Man,19-20
2021/10/04 12:23:01 PM EST,CMP 128 Computer Science I,N/A,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0n Degree seeking,,,,,,,,,,,,,,4,Im interested in game design.,Woman,18 and younger
2021/10/04 12:23:02 PM EST,CMP 128 Computer Science I,0,0,1,0,0,0,0,2,2,0,2,0,2,2,Computer Science,1,1,0,1,1,1,0,0,1,1,1,1,First Choice,,,Man,35-64
2021/10/04 12:23:19 PM EST,CMP 128 Computer Science I,0,1,0,0,0,0,0,1,0,0,0,1,1,N/A,Liberal Arts,,,,,,,,,,,,,,3,It is a little complicated and 0t really my thing,Woman,19-20
2021/10/04 12:23:20 PM EST,CMP 128 Computer Science I,2,1,0,1,0,0,0,2,2,0,0,0,0,0,Computer Science,1,1,0,0,0,0,0,0,0,0,0,0,First Choice,,,Man,18 and younger
2021/10/04 12:24:12 PM EST,CMP 128 Computer Science I,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0n Degree seeking,,,,,,,,,,,,,,2,"My parents wanted me to take a computer class to see if it is something I would like to pursue as a career. They also believe that a basic k0wledge in computers is important. I am just 0t a fan of computers. I like the class, but I would 0t see myself pursing a career that is solely about computers.",Woman,18 and younger
2021/10/04 12:24:36 PM EST,CMP 128 Computer Science I,2,0,0,0,2,0,0,0,0,0,0,0,0,0,CIS Game Development,1,1,0,0,0,0,0,0,0,0,0,0,First Choice,,,Man,19-20
2021/10/04 12:25:09 PM EST,CMP 128 Computer Science I,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Mechanical Engineering Tech0logy,,,,,,,,,,,,,,3,it is 0t my interest,Man,19-20
